# Role|Skill taxonomy from Kaggle job_skills_updated.xlsx
# 9444 entries, 5630 unique skills, 16 roles
Backend Developer|.NET
Backend Developer|.NET 8
Backend Developer|.NET Core
Backend Developer|AI Integration
Backend Developer|AI-Assisted Development Tools
Backend Developer|AI-Assisted Development Tools (GitHub Copilot)
Backend Developer|AI/ML Pipelines
Backend Developer|API Contracts
Backend Developer|API Design
Backend Developer|API Design Patterns
Backend Developer|API Design Principles
Backend Developer|API Development
Backend Developer|API Gateway
Backend Developer|API Integration
Backend Developer|API Security
Backend Developer|ASP.NET Web API
Backend Developer|AWS
Backend Developer|AWS CloudFront
Backend Developer|AWS CloudWatch
Backend Developer|AWS EC2
Backend Developer|AWS ECS
Backend Developer|AWS ELB
Backend Developer|AWS Ecosystem
Backend Developer|AWS Elastic Beanstalk
Backend Developer|AWS Glue
Backend Developer|AWS Lambda
Backend Developer|AWS RDS
Backend Developer|AWS Redshift
Backend Developer|AWS S3
Backend Developer|AWS SQS
Backend Developer|AWS Secrets Manager
Backend Developer|AWS Services (RDS
Backend Developer|AZ-204
Backend Developer|Accounting/Finance System Knowledge
Backend Developer|ActiveMQ
Backend Developer|Aggregation
Backend Developer|Agile
Backend Developer|Agile Development
Backend Developer|Agile Methodologies
Backend Developer|Agile Scrum
Backend Developer|Agile Scrum Methodologies
Backend Developer|Agile/Scrum
Backend Developer|Airflow
Backend Developer|Algorithms
Backend Developer|Amazon Aurora RDS
Backend Developer|Analytical Databases (ClickHouse)
Backend Developer|Analytical Skills
Backend Developer|Analytical Tools
Backend Developer|Angular
Backend Developer|Angular)
Backend Developer|AngularJS
Backend Developer|Anthropic
Backend Developer|Apache
Backend Developer|Apollo Server
Backend Developer|Application Architecture
Backend Developer|Application Development
Backend Developer|Application Insights
Backend Developer|Application Optimization
Backend Developer|Application Performance Monitoring
Backend Developer|Application Performance Optimization
Backend Developer|Application Security
Backend Developer|Architectural Design
Backend Developer|Async Python
Backend Developer|Async/Await
Backend Developer|Asynchronous I/O
Backend Developer|Asynchronous Processing
Backend Developer|Asynchronous Programming
Backend Developer|Attention to Detail
Backend Developer|Aurora MySQL
Backend Developer|Authentication
Backend Developer|Authentication Mechanisms
Backend Developer|Authentication/Authorization (OAuth 2.0
Backend Developer|Authorization
Backend Developer|Authorization Server
Backend Developer|Automated Testing
Backend Developer|Automated Testing (Unit
Backend Developer|Automation
Backend Developer|Azure
Backend Developer|Azure App Services
Backend Developer|Azure Certifications (AZ-900
Backend Developer|Azure Cloud
Backend Developer|Azure Cloud Development
Backend Developer|Azure Container Apps
Backend Developer|Azure Container Registry
Backend Developer|Azure Cosmos DB
Backend Developer|Azure Data Factory
Backend Developer|Azure DevOps
Backend Developer|Azure Event Grid
Backend Developer|Azure Functions
Backend Developer|Azure Key Vault
Backend Developer|Azure Kubernetes Service
Backend Developer|Azure Logic Apps
Backend Developer|Azure Monitor
Backend Developer|Azure Service Bus
Backend Developer|Azure Storage Account
Backend Developer|Azure)
Backend Developer|Back-end Application Development
Backend Developer|Backbone.js
Backend Developer|Backend API Development
Backend Developer|Backend Application Development
Backend Developer|Backend Application Performance
Backend Developer|Backend Application Security
Backend Developer|Backend Architecture
Backend Developer|Backend Best Practices
Backend Developer|Backend Development
Backend Developer|Backend Performance Optimization
Backend Developer|Backend Performance Testing
Backend Developer|Backend Platform Development
Backend Developer|Backend Scalability
Backend Developer|Backend Security
Backend Developer|Backend Service Development
Backend Developer|Backend Services Design
Backend Developer|Backend System Design
Backend Developer|Backend System Development
Backend Developer|Backend System Maintenance
Backend Developer|Backend–Mobile Integration
Backend Developer|Beanie
Backend Developer|Best Practices in Software Development
Backend Developer|BigQuery
Backend Developer|Bitbucket
Backend Developer|Bitbucket)
Backend Developer|Bootstrap
Backend Developer|Build & Dependency Management
Backend Developer|Build Automation
Backend Developer|Business Logic Implementation
Backend Developer|C#
Backend Developer|C++
Backend Developer|CI/CD
Backend Developer|CI/CD Pipelines
Backend Developer|CI/CD Tools
Backend Developer|CSRF Prevention
Backend Developer|CSS
Backend Developer|CSS Grid
Backend Developer|CSS3
Backend Developer|Caching
Backend Developer|Caching Databases
Backend Developer|CakePHP
Backend Developer|Card Payment System Development
Backend Developer|Celery
Backend Developer|Celery Task Orchestration
Backend Developer|Centralized Configuration
Backend Developer|Checkstyle
Backend Developer|Circuit Breaker
Backend Developer|Clean Architecture
Backend Developer|Clean Architecture Patterns (Hexagonal
Backend Developer|Clean Code
Backend Developer|Clean Code Practices
Backend Developer|Client-Server Architecture
Backend Developer|Cloud APIs
Backend Developer|Cloud Cost Management
Backend Developer|Cloud Deployment
Backend Developer|Cloud Monitoring
Backend Developer|Cloud Monitoring Tools (CloudWatch
Backend Developer|Cloud Operations
Backend Developer|Cloud Platforms
Backend Developer|Cloud Platforms (AWS
Backend Developer|Cloud Platforms (GCP
Backend Developer|Cloud Platforms (Google Cloud)
Backend Developer|Cloud Storage Integration
Backend Developer|Cloud Technologies (AWS/Azure)
Backend Developer|Cloud-Native Application Development
Backend Developer|Cloud-Native Development
Backend Developer|Cloud-Native Telemetry
Backend Developer|CloudFormation
Backend Developer|CloudWatch
Backend Developer|Code Coverage
Backend Developer|Code Documentation
Backend Developer|Code Optimization
Backend Developer|Code Quality
Backend Developer|Code Reusability
Backend Developer|Code Review
Backend Developer|Code Reviews
Backend Developer|CodeIgniter 4
Backend Developer|Collaboration
Backend Developer|Collaboration Skills
Backend Developer|Collaboration with Cross-Functional Teams
Backend Developer|Collaboration with Frontend
Backend Developer|Collaboration with Frontend/QA/DevOps Teams
Backend Developer|Collaboration with Frontend/UX Teams
Backend Developer|Collaboration with Product/UX Teams
Backend Developer|Collaborative Teamwork
Backend Developer|Communication
Backend Developer|Communication Skills
Backend Developer|Complex SQL Queries
Backend Developer|Compliance
Backend Developer|Compute Services
Backend Developer|Confidentiality Management
Backend Developer|Connection Pooling
